date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-12-31,ACA,51.07706229917465,0.6652,1953.3,0.2002747252747252,2.1096,0.321,0.1893,3153.57,0.1129,1.6853,0.1709,5.5553,0.2085,0.2525,0.3403,0.2304,0.3106,0.0176,0.0299,0.1408,1.3039,36.5944,8.2103,0.0157,1.2507,1.4697,1.2181,7.1327,0.0227,0.036,0.0276,0.0426,10.7366,0.8291,1733.0,0.3479,0.2131,0.2581,2.5819,Construction,0.6668625146886017,0.347113414487164,0.5194316363978545,0.4914345042394878,0.3513966785267478,0.4350463700959671,,,
2021-12-31,ACAD,24.19838705370503,0.6685,540.9,1.5338189386056194,6.4287,-0.2742,-0.2644,3604.64,,-0.7875,0.9801,2.1364,0.0089,0.0098,0.01,-0.2725,-0.2725,-0.3295,-0.3417,,6.9367,,,-0.328,7.7489,10.0287,6.0978,8.6004,-0.2318,-0.2979,-0.2979,-0.3025,0.8025,0.0199,653.4,0.0,0.0,0.0,4.3976,Biotechnology,0.0742047132386039,0.4349021225724434,0.477854511643753,0.4663562703140512,1.5667029011648996,0.0043159501908439,,,
2021-12-31,ACAN,0.5234032258872063,0.16,5.44,1.423076923076923,1.9808,-0.0153,-0.0219,16.5901,,-0.0037,0.9846,,0.3144,0.4578,0.9191,0.4075,0.7812,-0.8154,-0.5692,,2.2684,,,-0.8154,5.1204,13.0672,1.9808,,-0.0591,-0.1657,-0.0853,-0.0019,0.0268,0.0154,0.7,0.9173,0.3322,0.4784,1.5678,Pharmaceuticals,0.1318077024082727,0.5477605726038116,0.322852187577854,0.007494002551256,0.0005130894926475,0.0288395082413554,,,
2021-12-31,ACEL,12.92112898057507,1.2211,158.5,2.7688022284122566,3.454,0.1672,0.0715,1367.45,0.1014,0.8672,0.3261,,0.5259,0.648,2.0442,0.2854,0.9003,0.0354,0.0827,,7.7271,38.881,15.1204,0.0525,1.6668,,3.3565,,0.0523,0.208,0.0636,0.1394,2.0221,0.6739,,2.1546,0.5543,0.683,1.3464,"Hotels, Restaurants & Leisure",-0.274795016799635,-1.089223281531566,-0.3213425930512488,-0.7675299858572554,0.0052911457459521,-0.0495752538352505,,,
2021-12-31,ACGL,44.20742582505749,0.1968,13545.896,4.482478166223815,0.8521,1.491,1.6039,19029.326,0.3531,8.9363,,,0.0604,0.1674,0.2011,0.1147,0.1377,0.2775,0.258,0.0224,1.2671,7.9577,5.0687,0.2749,1.9321,1.3621,0.8521,,0.0478,0.1597,0.1317,0.1121,5.7793,,12600.913,0.2011,0.0604,0.1674,1.4293,Insurance,-0.6873768812544323,1.5187420052639689,1.5693438619752114,1.5768712604509256,1.8098814067837588,0.585372375489528,,,
2021-12-31,ACHC,58.09322584829023,0.5017,2517.5,0.3304519634477649,1.2225,1.2221,0.7691,6823.49,0.1973,1.4573,,,0.3101,0.3682,0.5873,0.3398,0.542,0.1184,0.1882,,2.1685,27.0182,6.9955,0.1619,2.3586,2.2306,1.1556,8.342,0.0413,0.0794,0.049,0.0907,6.4934,,2447.4,0.5951,0.3142,0.3731,2.1186,Health Care,-0.1307553593096939,-0.2626051982828239,-0.2136448323200627,-0.4043445333467014,0.7151120403182242,-0.0424966687931245,,,
2021-12-31,ACIC,3.592830696413594,0.2119,,1.100155682407888,,-0.1442,-0.0535,,0.1774,-6.9768,,,0.058,0.3291,0.4906,-0.0651,-0.0971,-0.0149,-0.0401,0.16,,,,-0.0401,,,,,-0.0193,-0.2531,-0.1751,-0.2404,3.593,,,0.4906,0.058,0.3291,1.1309,Insurance,0.2775392010085887,-2.406973084109646,-2.086500457341378,-3.3816222213416816,,-0.0566134785684707,,,
2021-12-31,ACLX,16.719487263606144,,,2.081081081081081,7.6216,-0.5952,-0.5943,,,,,,,,,-0.2752,-0.2752,,,,,,,,,,7.0676,,,,,,0.0,,,0.0,0.0,0.0,7.6213,Biotechnology,,,,,,0.0093685395827509,,,
2021-12-31,ACNB,30.123780035203502,,272.1,,,,,307.182,,4.6218,,,0.0709,0.3316,0.7303,,,,,0.2925,0.9996,9.7695,6.0731,,,1.0225,,,0.0102,0.1045,0.0923,,,,266.0,0.1294,0.0126,0.1145,1.1082,Banking,1.0625511235144107,1.0367396036201166,1.3361248737956255,,4.676383219282113e-05,,,,
2021-12-31,ACT,18.891228921951782,0.0933,4105.5,,,1.2736,0.9417,3680.51,0.528,3.4091,,,0.1262,0.1528,0.1803,0.0649,0.0766,0.5627,0.761,,0.8199,,,0.7144,,,,,0.049,0.07,0.0594,0.0807,1.6736,,,0.1803,0.1262,0.1528,3.3323,Financial Services,-1.0812431902974808,0.4839451206233214,-1.5296268637499035,-1.373739074315698,0.0066430439630591,0.023442556990688,,,
