,ticker,date_m,sentiment_avg_m,sentiment_num_m,sentiment_sd_m,date_q,sentiment_avg_q,sentiment_num_q,sentiment_sd_q
3055,COOK,2025-01-31,1.5,2,0.7071067811865476,2025-03-31 23:59:59.999999999,1.5,2,0.7071067811865476
3056,COOTW,2024-04-30,1.6666666666666667,3,0.5773502691896258,2024-06-30 23:59:59.999999999,1.4,5,0.5477225575051661
3057,COOTW,2024-05-31,1.0,1,,2024-06-30 23:59:59.999999999,1.4,5,0.5477225575051661
3058,COOTW,2024-06-30,1.0,1,,2024-06-30 23:59:59.999999999,1.4,5,0.5477225575051661
3059,COOTW,2024-07-31,1.0,1,,2024-09-30 23:59:59.999999999,1.3333333333333333,3,0.5773502691896257
3060,COOTW,2024-08-31,1.5,2,0.7071067811865476,2024-09-30 23:59:59.999999999,1.3333333333333333,3,0.5773502691896257
3061,COOTW,2024-12-31,2.0,1,,2024-12-31 23:59:59.999999999,2.0,1,
3062,COOTW,2025-01-31,1.0,1,,2025-03-31 23:59:59.999999999,1.0,2,0.0
3063,COOTW,2025-02-28,1.0,1,,2025-03-31 23:59:59.999999999,1.0,2,0.0
3064,COP,2024-11-30,1.2183908045977012,87,0.6365840406770296,2024-12-31 23:59:59.999999999,1.2435897435897436,156,0.6755814210073101
3065,COP,2024-12-31,1.2753623188405796,69,0.7252597500412097,2024-12-31 23:59:59.999999999,1.2435897435897436,156,0.6755814210073101
3066,COP,2025-01-31,1.3225806451612903,31,0.6525384675349825,2025-03-31 23:59:59.999999999,1.255813953488372,43,0.6932677369088798
3067,COP,2025-02-28,1.0833333333333333,12,0.7929614610987591,2025-03-31 23:59:59.999999999,1.255813953488372,43,0.6932677369088798
3068,CORN,2024-05-31,0.8571428571428571,7,0.37796447300922725,2024-06-30 23:59:59.999999999,0.9692307692307692,65,0.1740358053345964
3069,CORN,2024-06-30,0.9827586206896551,58,0.13130643285972254,2024-06-30 23:59:59.999999999,0.9692307692307692,65,0.1740358053345964
3070,CORN,2024-07-31,1.0303030303030303,33,0.3046358979224712,2024-09-30 23:59:59.999999999,0.9901960784313726,102,0.2630776732501009
3071,CORN,2024-08-31,0.9565217391304348,46,0.20618457094236217,2024-09-30 23:59:59.999999999,0.9901960784313726,102,0.2630776732501009
3072,CORN,2024-09-30,1.0,23,0.30151134457776363,2024-09-30 23:59:59.999999999,0.9901960784313726,102,0.2630776732501009
3073,CORN,2024-10-31,1.0625,48,0.24462302739504083,2024-12-31 23:59:59.999999999,1.0847457627118644,59,0.3367253865884114
3074,CORN,2024-11-30,1.2857142857142858,7,0.48795003647426655,2024-12-31 23:59:59.999999999,1.0847457627118644,59,0.3367253865884114
