"date_q","ticker","price","assetTurnover","bookValue","cashRatio","currentRatio","ebitPerShare","eps","fcfPerShare","grossMargin","longtermDebtTotalAsset","longtermDebtTotalCapital","longtermDebtTotalEquity","netDebtToTotalCapital","netDebtToTotalEquity","netMargin","operatingMargin","pb","pretaxMargin","ps","quickRatio","roa","roe","roic","rotc","salesPerShare","sgaToSale","totalDebtToEquity","totalDebtToTotalAsset","totalDebtToTotalCapital","totalRatio","finnhubIndustry","roa_sector_ratio","roe_sector_ratio","roic_sector_ratio","rotc_sector_ratio","ev_sector_ratio","ebitPerShare_sector_ratio","roa__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roa__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roe__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","roic__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","rotc__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ev__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""slope""__chunk_len_1__f_agg_""mean""","ebitPerShare__agg_linear_trend__attr_""pvalue""__chunk_len_1__f_agg_""mean"""
2021-09-30,"AER",59.4748998457386,0.1131,9855,0.505397070161912,1.5528,5.7859,3.3532,11.1669,0.9622,0.6636,0.7365,2.7945,0.7014,2.6615,0.3063,0.5284,0.7824,0.3538,1.6286,0.7548,0.0225,0.101,0.025,0.0589,10.949,0.0378,2.7945,0.6636,0.7365,1.3114,"Trading Companies & Distributors",0.338332114118508,0.710523814050765,0.261794922593609,0.382541382155207,2.92870142599283,3.80409194882082,-0.0012635064935064,0.0025844892691762,-0.0064136363636363,0.001363927555684,-0.0014572727272727,0.0020229568627848,-0.0011931168831168,0.0097265486114535,-16.8942987012987,0.744308797676065,0.0241722077922078,0.73384095422095
2021-09-30,"AGRO",8.35584571284632,0.405,960.5,0.148373983739837,2.0066,0.8552,0.3164,1.0098,0.245,0.2748,0.3386,0.7425,0.5163,1.1321,0.1132,0.3061,1.1076,0.1611,1.0382,0.921,0.0472,0.1271,0.0569,0.138,2.794,0.755,1.1929,0.4415,0.544,1.5875,"Food Products",-0.862318277229262,4.79980678874105,-0.589331952356292,-1.78348160615533,0.0334226291549392,0.136400331422935,0.0007350649350649,0.320006090163065,0.0021158441558441,0.27635504442346,0.0009167532467532,0.290695539597414,-0.0008350649350649,0.462232992510908,0.841674025974024,0.918627482073763,0.0116737662337662,0.153620538814226
2021-09-30,"AHH",11.7798746016718,0.1613,536.3,0.195121951219512,0.9833,0.198,0.1064,-0.6493,0.4903,0.4863,0.6223,1.7996,0.6361,1.8395,0.0969,0.1803,2.0404,0.1148,3.4994,0.5038,0.0118,0.0431,0.0149,0.0258,1.0982,0.5097,1.8917,0.5112,0.6542,1.3703,"Real Estate",-2.56521739130435,1.31988036510093,2.67521307810535,3.44930551942985,0.227980506843066,0.357836829071967,-0.0006793506493506,0.0002809114981191,-0.0088297402597402,0.0005211398422235,-0.001198961038961,8.36085260668919e-05,-0.0009420779220779,5.30218281875269e-09,43.7311506493506,1.94409575395486e-05,0.0024370129870129,0.21448323286759
2021-09-30,"AKAM",112.155323028564,0.4304,4582.5,1.72901285206453,3.7762,1.2345,1.0758,4.3467,0.6318,0.2413,0.2994,0.4274,0.1061,0.1514,0.208,0.2386,3.7164,0.225,5.0058,3.5239,0.0765,0.1371,0.0953,0.1138,5.1732,0.3684,0.4274,0.2413,0.2994,2.2971,"Technology",-0.0391425709325414,-0.202335812632808,-0.168398252476245,-0.215027231299322,0.30812577819914,-2.05717637379378,0.0009394805194805,0.0472101884833419,0.0037157142857142,9.93042134617768e-05,0.0016790909090909,0.0062791871244748,0.0006897402597402,0.353221189305948,542.519662337662,5.74107636220348e-09,0.0375015584415584,9.99794808736105e-06
2021-09-30,"ALV",85.2194445210119,1.0951,2558,0.321237993596585,1.3198,1.1288,0.6842,5.6103,0.163,0.2246,0.366,0.6595,0.2491,0.4488,0.0325,0.0536,2.9314,0.0471,0.8691,0.9057,0.0645,0.2019,0.1074,0.1702,21.0604,0.837,0.8018,0.2731,0.445,1.5165,"Auto Components",-1.50226058364159,1.78931198487489,2.3161526849256,2.09743674005915,0.0118320807779608,0.0983106557498408,-0.001207922077922,0.0748528534944085,0.000862987012987,0.644136565192352,-0.0017558441558441,0.109650298958204,-0.0027827272727272,0.03626410312407,-131.71048051948,0.0195669470170775,-0.0530548051948052,0.253421116744852
2021-09-30,"AMAT",134.205899146295,0.9182,12060,1.18360975609756,2.9752,2.1928,1.8693,5.5205,0.4789,0.2227,0.3113,0.452,-0.0351,-0.051,0.277,0.3249,10.7624,0.3196,6.0012,2.0806,0.2253,0.4604,0.3126,0.3628,6.7495,0.5211,0.452,0.2227,0.3113,1.9711,"Semiconductors",9.27127316968439,5.73733162646849,5.58658673295316,5.54724639292764,0.165737504111175,0.0333741289774426,0.0018767532467532,0.0483359411878535,0.0051738961038961,0.0276130918347426,0.003058961038961,0.0275524069403431,0.0029577922077922,0.0982941385616148,3042.76415584416,0.0002674843695355,0.0440701298701298,9.31971137851518e-05
2021-09-30,"AMBO",7.56951612810935,0.4964,19.714,0.186262090044439,0.648,-1.551,1.1292,-0.0188,0.4408,0.0407,0.1869,0.2299,-0.6835,-0.7875,0.1303,0.1249,2.5908,0.1375,0.6405,0.4652,-0.0859,-0.6559,-0.5822,-0.5569,2.6969,0.5592,0.1522,0.0189,0.1321,1.1419,"Diversified Consumer Services",0.444682739239757,1.73468186394117,1.59125735093149,1.62001951842051,0.0199327202926844,0.624573235426975,-0.0084438961038961,0.0099107463608479,-0.0444203896103896,0.017707816570349,-0.0420610389610389,0.0212119953015899,0.0394616883116883,0.0647128392265256,0.302664025974026,0.821613631630268,-0.0345418181818181,0.365588069373229
2021-09-30,"AMD",119.37903213501,1.4542,7136,0.684624017957351,2.2413,0.7504,0.7504,2.4455,0.4837,1e-04,1e-04,1e-04,-0.2855,-0.2981,0.214,0.214,18.3848,0.2326,8.8334,1.6364,0.3886,0.5988,0.5714,0.4256,3.5065,0.5163,0.0439,0.0281,0.042,2.7765,"Semiconductors",15.9911973090961,7.46202036909064,10.2116943672727,6.50746434627895,0.165593807376718,0.0114209897777603,0.0251042857142857,2.93915291881433e-09,0.0817671428571428,6.02876476522758e-06,0.0389698701298701,2.6844320185059e-09,0.0268324675324675,1.31096241812019e-08,5689.90841558442,7.21802740487254e-09,0.0360157142857142,1.0676827850782e-06
2021-09-30,"AMN",103.817258034983,1.2584,1042.5,0.213661883967561,1.4028,2.1996,1.5385,4.611,0.3485,0.3108,0.4468,0.8077,0.3741,0.6763,0.0843,0.1205,5.2023,0.1146,1.6675,1.3726,0.0853,0.2369,0.1231,0.1887,18.2495,0.6515,0.8077,0.3108,0.4468,1.6256,"Health Care",-0.270058889809126,-0.783516013516385,-0.536728139971423,-0.841232783269268,0.642263464245628,-0.0764877446013884,-0.0030097402597402,0.0003309868642609,-0.0065141558441558,0.0001891110026672,-0.0044964935064935,0.0001410634579881,-0.0078044155844155,1.91018518224058e-06,144.913818181818,1.56986059427071e-07,0.0305635064935064,0.0550020216752114
2021-09-30,"AMPH",28.3567742378481,0.6365,430.2,1.08775510204082,3.099,0.822,0.59,0.9271,0.4563,0.116,0.1488,0.1757,-0.0567,-0.0669,0.2629,0.3663,2.4768,0.3351,2.5813,1.9969,0.0555,0.0867,0.0771,0.1332,2.244,0.5437,0.1808,0.1194,0.1531,2.9422,"Pharmaceuticals",-0.123778806830104,-0.286607372629755,-0.291815986661812,-0.525369020961739,0.0320637247881192,-1.54941671728067,0.0011903896103896,0.397439121195449,0.0021007792207792,0.327916058239572,0.0018753246753246,0.322564729602429,0.0015061038961038,0.334038539561208,7.5772,0.0262293697681898,0.0172511688311688,0.0130113357193218
