date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-12-31,BGB,USD,0001546429,2020-12-31,2020-12-31 00:00:00,2020,FY,34821452.0,0,34821452.0,12982979.0,0.0,-47804431.0,47804431.0,0.0,0,0.0,0.0,1007408273.0,0.0,-1007408273.0,1007408273.0,40077.0,1055252781.0,65788547.0,309100000,0,-243311453.0,-65788547.0,65788547.0,0,0,0,0,309100000.0,46623113.0,0,421511660.0,0.0,44664.0,-206010017.0,0.0,839706474.0,633741121.0,633741121.0,1055252781.0,0.0,1055252781.0,1007408273.0,309100000,274278548.0,,
2024-02-29,IIM,USD,0000885601,2024-02-29,2024-02-27 19:00:00,2023,FY,0.0,0,18339302.0,8434463.0,0.0,0.0,26773765.0,0.0,0,0.0,0.0,947750485.0,0.0,-947750485.0,1060543794.0,-131132132.0,956185427.0,6629049.0,1463817,0,0.0,-8092866.0,9627386.0,309073247,0,0,-309073247,309311500.0,-1357890.0,0,317580996.0,0.0,678098016.0,-39493585.0,0.0,0.0,638604431.0,638604431.0,956185427.0,0.0,956185427.0,947750485.0,310537064,328876366.0,,
2023-02-28,IIM,USD,0000885601,2023-02-28,2023-02-27 19:00:00,2022,FY,0.0,-168248357,-168248357.0,14684249.0,183005908.0,0.0,14684249.0,0.0,0,0.0,0.0,965666343.0,0.0,-168248357.0,797417986.0,168251225.0,980353460.0,10295619.0,2435389,0,-2435389.0,-12731008.0,13763130.0,115205000,0,0,-115205000,348289292.0,246555.0,0,362298977.0,0.0,678549373.0,-60494890.0,5.6843418860808015e-08,0.0,618054483.0,618054483.0,980353460.0,0.0,980353460.0,797417986.0,115205000,115205000.0,,
2022-02-28,IIM,USD,0000885601,2022-02-28,2022-02-27 19:00:00,2021,FY,0.0,-342670811,-342670811.0,13883321.0,356652216.0,0.0,13883321.0,0.0,0,0.0,0.0,1193765977.0,0.0,-342670811.0,851095166.0,342673687.0,1207652174.0,9625791.0,1344496,0,-1344496.0,-10970287.0,11454349.0,225015000,0,0,-225015000,458087465.0,265796.0,0,469807610.0,0.0,679686655.0,58157909.0,2.1316282072803006e-08,0.0,737844564.0,737844564.0,1207652174.0,0.0,1207652174.0,851095166.0,225015000,225015000.0,,
2021-02-28,IIM,USD,0000885601,2021-02-28,2021-02-27 19:00:00,2020,FY,3469092.0,-366734150,3469092.0,11498024.0,-1.862645149230957e-09,0.0,14967116.0,0.0,0,0.0,0.0,1227003339.0,0.0,-366734150.0,860269189.0,366734150.0,1241970455.0,1271062.0,0,0,0.0,-1271062.0,1849941.0,462114903,0,0,-462114903,462114903.0,310622.0,0,464275466.0,0.0,679364020.0,98330969.0,-1.4210854715202004e-08,0.0,777694989.0,777694989.0,1241970455.0,0.0,1241970455.0,860269189.0,229030000,225560908.0,,
2020-02-29,IIM,USD,0000885601,2020-02-29,2020-02-28 19:00:00,2019,FY,486625.0,-402093554,486625.0,11392712.0,12003113.0,0.0,11879337.0,0.0,0,0.0,0.0,1287935102.0,0.0,-402093554.0,885841548.0,402093554.0,1299814439.0,6492646.0,0,0,0.0,-6492646.0,7184282.0,485461997,0,0,-485461997,485461997.0,314621.0,0,492960900.0,0.0,679177068.0,127676471.0,1613707080.0,-1613707080.0,806853539.0,806853539.0,1299814439.0,0.0,1299814439.0,885841548.0,252395000,251908375.0,,
2023-12-31,ATMVR,USD,0001937891,2024-04-16,2024-04-16 17:26:18,2023,FY,28560.0,0,28560.0,0.0,0.0,34573.0,63133.0,0.0,0,0.0,0.0,0.0,0.0,50880604.0,50880604.0,0.0,50943737.0,213118.0,165000,0,0.0,9837.0,387955.0,0,0,0,0,0.0,0.0,0,387955.0,0.0,50880832.0,-325050.0,0.0,0.0,50555782.0,50555782.0,50943737.0,0.0,50943737.0,50880604.0,165000,136440.0,https://www.sec.gov/Archives/edgar/data/1937891/000149315224014881/0001493152-24-014881-index.htm,https://www.sec.gov/Archives/edgar/data/1937891/000149315224014881/form10-k.htm
2022-12-31,ATMVR,USD,0001937891,2023-03-31,2023-03-31 16:31:25,2022,FY,659035.0,0,659035.0,0.0,0.0,82771.0,733728.0,0.0,0,0.0,0.0,70418228.0,0.0,-9185847.0,61232381.0,0.0,61966109.0,248034.0,0,0,0.0,9837.0,171145.0,0,0,0,0,0.0,0.0,0,171145.0,0.0,61200224.0,-42157.0,-6.938893903907228e-15,-8542686.0,61794964.0,61794964.0,61966109.0,0.0,61966109.0,70418228.0,0,-659035.0,https://www.sec.gov/Archives/edgar/data/1937891/000149315223010328/0001493152-23-010328-index.htm,https://www.sec.gov/Archives/edgar/data/1937891/000149315223010328/form10-k.htm
2024-12-31,DLR-PK,USD,0001297996,2025-02-25,2025-02-24 21:40:43,2024,FY,3870891000.0,0,3870891000.0,1257464000.0,0.0,0.0,5128355000.0,1178853000.0,8929431000,2178054000.0,11107485000.0,2639800000.0,0.0,25229123000.0,40155261000.0,0.0,45283616000.0,2056215000.0,1611308000,0,539802000.0,418661000.0,4625986000.0,16397288000,0,1084562000,0,17481850000.0,0.0,1294219000,22107836000.0,731690000.0,3337000.0,0.0,-1182283000.0,21787653000.0,21340397000.0,22773582000.0,45283616000.0,1433185000.0,45283616000.0,2639800000.0,18008596000,14137705000.0,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/0001558370-25-001424-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/dlr-20241231x10k.htm
2023-12-31,DLR-PK,USD,0001297996,2024-02-23,2024-02-23 07:24:51,2023,FY,1625495000.0,0,1625495000.0,1278110000.0,0.0,478503000.0,3382108000.0,1414256000.0,9239871000,2500237000.0,11740108000.0,2295889000.0,0.0,25280897000.0,40731150000.0,0.0,44113258000.0,2168984000.0,1323387000,0,0.0,356925000.0,3849296000.0,17987065000,0,1151096000,129480000,19267641000.0,0.0,1727792000,23116937000.0,731690000.0,3088000.0,0.0,-6014041000.0,24396797000.0,19117534000.0,20996321000.0,44113258000.0,1878787000.0,44113258000.0,2295889000.0,18968001000,17342506000.0,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/0001558370-24-001575-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/dlr-20231231x10k.htm
