symbol,date,marketCap
CC,2025-03-24,2164985526.0
CC,2025-03-21,2112546430.0
CC,2025-03-20,2197947243.0
CC,2025-03-19,2211431582.0
CC,2025-03-18,2191954204.0
CC,2025-03-17,2187459424.0
CC,2025-03-14,2157494227.0
CC,2025-03-13,2052616035.0
CC,2025-03-12,2091570792.0
CC,2025-03-11,2046622996.0
CC,2025-03-10,2015159538.0
CC,2025-03-07,2115542950.0
CC,2025-03-06,2096065572.0
CC,2025-03-05,2112546430.0
CC,2025-03-04,2009166499.0
CC,2025-03-03,2076588193.0
CC,2025-02-28,2239898520.0
CC,2025-02-27,2277355017.0
CC,2025-02-26,2397215808.0
CC,2025-02-25,2367250610.0
CC,2025-02-24,2419689706.0
CC,2025-02-21,2511083558.0
CC,2025-02-20,2618958270.0
CC,2025-02-19,2571013954.0
CC,2025-02-18,2618958270.0
CC,2025-02-14,2521571378.0
CC,2025-02-13,2663120588.0
CC,2025-02-12,2624199208.0
CC,2025-02-11,2724496611.0
CC,2025-02-10,2690066159.0
CC,2025-02-07,2733478468.0
CC,2025-02-06,2797848443.0
CC,2025-02-05,2790363562.0
CC,2025-02-04,2802339371.0
CC,2025-02-03,2700544992.0
CC,2025-01-31,2842757727.0
CC,2025-01-30,2896648869.0
CC,2025-01-29,2836769823.0
CC,2025-01-28,2808327276.0
CC,2025-01-27,2859224465.0
CC,2025-01-24,2944552106.0
CC,2025-01-23,2992455343.0
CC,2025-01-22,2964012796.0
CC,2025-01-21,2980479534.0
CC,2025-01-17,2904133750.0
CC,2025-01-16,2857727489.0
CC,2025-01-15,2812818204.0
CC,2025-01-14,2788866586.0
CC,2025-01-13,2751442182.0
CC,2025-01-10,2640665946.0
CC,2025-01-08,2679587326.0
CC,2025-01-07,2808327276.0
CC,2025-01-06,2534380638.0
CC,2025-01-03,2498453211.0
CC,2025-01-02,2501447163.0
CC,2024-12-31,2529889710.0
CC,2024-12-30,2517913901.0
CC,2024-12-27,2546356448.0
CC,2024-12-26,2594259685.0
CC,2024-12-24,2625696184.0
CC,2024-12-23,2625696184.0
CC,2024-12-20,2652641755.0
CC,2024-12-19,2615217351.0
CC,2024-12-18,2598750613.0
CC,2024-12-17,2725993587.0
CC,2024-12-16,2808327276.0
CC,2024-12-13,2850242608.0
CC,2024-12-12,2904133750.0
CC,2024-12-11,2907127702.0
CC,2024-12-10,3169098530.0
CC,2024-12-09,3251432219.0
CC,2024-12-06,3143649936.0
CC,2024-12-05,3158619697.0
CC,2024-12-04,3185565268.0
CC,2024-12-03,3237959434.0
CC,2024-12-02,3240953386.0
CC,2024-11-29,3254426171.0
CC,2024-11-27,3266401981.0
CC,2024-11-26,3281371742.0
CC,2024-11-25,3284365695.0
CC,2024-11-22,3222989672.0
CC,2024-11-21,3113710412.0
CC,2024-11-20,2881679108.0
CC,2024-11-19,2821800061.0
CC,2024-11-18,2851739584.0
CC,2024-11-15,2827787966.0
CC,2024-11-14,2892157941.0
CC,2024-11-13,2868206322.0
CC,2024-11-12,2889163988.0
CC,2024-11-11,2965509772.0
CC,2024-11-08,2962515820.0
CC,2024-11-07,3061316247.0
CC,2024-11-06,3101734603.0
CC,2024-11-05,2975988606.0
CC,2024-11-04,3080776937.0
CC,2024-11-01,2667611517.0
CC,2024-10-31,2713343112.0
CC,2024-10-30,2735755087.0
CC,2024-10-29,2732766824.0
CC,2024-10-28,2761155326.0
CC,2024-10-25,2737249219.0
CC,2024-10-24,2779084906.0
CC,2024-10-23,2737249219.0
CC,2024-10-22,2792532091.0
CC,2024-10-21,2819426461.0
CC,2024-10-18,2935968731.0
CC,2024-10-17,2952404179.0
CC,2024-10-16,2967345496.0
CC,2024-10-15,2915050888.0
CC,2024-10-14,2982286813.0
CC,2024-10-11,3045040343.0
CC,2024-10-10,2955392443.0
CC,2024-10-09,2937462863.0
CC,2024-10-08,2919533283.0
CC,2024-10-07,2998722261.0
CC,2024-10-04,2924015678.0
CC,2024-10-03,2873215201.0
