,buy,hold,period,sell,strongBuy,strongSell,symbol
0,11,3,2025-02-01,0,7,0,HASI
0,11,4,2025-01-01,0,6,0,HASI
0,11,4,2024-12-01,0,6,0,HASI
0,11,4,2024-11-01,0,5,0,HASI
0,0,3,2025-02-01,1,0,2,SOHO
0,0,3,2025-01-01,1,0,2,SOHO
0,0,3,2024-12-01,1,0,2,SOHO
0,0,3,2024-11-01,1,0,2,SOHO
0,5,8,2025-02-01,0,3,0,AZPN
0,5,7,2025-01-01,0,4,0,AZPN
0,5,7,2024-12-01,0,4,0,AZPN
0,6,6,2024-11-01,0,4,0,AZPN
0,0,3,2025-01-01,1,0,2,UPXI
0,0,3,2024-12-01,1,0,2,UPXI
0,0,3,2024-11-01,1,0,2,UPXI
0,0,3,2024-10-01,1,0,2,UPXI
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,2,5,2025-02-01,0,3,0,CBU
0,2,5,2025-01-01,0,3,0,CBU
0,2,4,2024-12-01,0,3,0,CBU
0,2,4,2024-11-01,0,3,0,CBU
0,10,1,2025-02-01,0,5,0,MNMD
0,10,1,2025-01-01,0,5,0,MNMD
0,9,1,2024-12-01,0,5,0,MNMD
0,9,1,2024-11-01,0,5,0,MNMD
0,3,1,2025-02-01,0,3,0,NPO
0,3,1,2025-01-01,0,3,0,NPO
0,3,1,2024-12-01,0,3,0,NPO
0,3,1,2024-11-01,0,3,0,NPO
0,6,1,2025-02-01,0,1,0,RUP.TO
0,6,1,2025-01-01,0,2,0,RUP.TO
0,6,1,2024-12-01,0,2,0,RUP.TO
0,6,1,2024-11-01,0,2,0,RUP.TO
0,9,5,2025-02-01,0,5,0,CSAN3.SA
0,8,5,2025-01-01,0,4,0,CSAN3.SA
0,8,4,2024-12-01,0,4,0,CSAN3.SA
0,8,4,2024-11-01,0,4,0,CSAN3.SA
0,7,2,2025-02-01,0,2,0,IHS
0,7,2,2025-01-01,0,2,0,IHS
0,7,2,2024-12-01,0,2,0,IHS
0,7,2,2024-11-01,0,2,0,IHS
0,5,2,2025-02-01,1,6,0,TRIN
0,5,2,2025-01-01,1,6,0,TRIN
0,5,3,2024-12-01,0,6,0,TRIN
0,5,3,2024-11-01,0,6,0,TRIN
0,4,1,2024-07-01,0,2,0,IPWR
0,4,1,2024-06-01,0,2,0,IPWR
0,4,1,2024-05-01,0,2,0,IPWR
0,4,1,2024-04-01,0,2,0,IPWR
0,0,7,2025-02-01,6,0,1,BGS
0,0,7,2025-01-01,6,0,1,BGS
0,0,7,2024-12-01,6,0,1,BGS
0,0,7,2024-11-01,6,0,1,BGS
0,5,1,2025-02-01,0,2,0,NEPH
0,5,1,2025-01-01,0,2,0,NEPH
0,5,1,2024-12-01,0,2,0,NEPH
0,5,1,2024-11-01,0,2,0,NEPH
0,11,9,2025-02-01,0,4,0,6146.T
0,12,7,2025-01-01,0,5,0,6146.T
0,11,7,2024-12-01,0,5,0,6146.T
0,10,8,2024-11-01,0,5,0,6146.T
0,0,2,2025-02-01,4,0,1,DRD.JO
0,0,2,2025-01-01,4,0,1,DRD.JO
0,0,2,2024-12-01,4,0,1,DRD.JO
0,0,2,2024-11-01,4,0,1,DRD.JO
0,6,1,2025-02-01,0,4,0,FC
0,6,1,2025-01-01,0,4,0,FC
0,6,1,2024-12-01,0,4,0,FC
0,6,1,2024-11-01,0,4,0,FC
0,4,1,2023-10-01,0,2,0,AWRE
0,4,1,2023-09-01,0,2,0,AWRE
0,4,1,2023-08-01,0,2,0,AWRE
0,4,1,2023-07-01,0,2,0,AWRE
0,1,4,2025-02-01,5,0,1,WOW
0,1,4,2025-01-01,5,0,1,WOW
0,1,4,2024-12-01,5,0,1,WOW
0,1,4,2024-11-01,5,0,1,WOW
0,5,3,2025-02-01,0,8,0,WTRG
0,8,3,2025-01-01,0,7,0,WTRG
0,8,3,2024-12-01,0,7,0,WTRG
0,8,2,2024-11-01,0,8,0,WTRG
0,0,7,2025-02-01,5,0,1,CRI
0,0,7,2025-01-01,5,0,1,CRI
0,0,7,2024-12-01,5,0,1,CRI
0,0,6,2024-11-01,5,0,2,CRI
0,0,3,2021-12-01,1,0,2,RAVE
0,0,3,2021-11-01,1,0,2,RAVE
0,1,6,2025-02-01,8,0,2,WEED.TO
0,1,8,2025-01-01,8,0,2,WEED.TO
0,1,9,2024-12-01,7,0,2,WEED.TO
0,1,9,2024-11-01,7,0,2,WEED.TO
0,8,3,2025-02-01,0,4,0,PSN
0,9,1,2025-01-01,0,5,0,PSN
0,8,2,2024-12-01,0,5,0,PSN
0,8,2,2024-11-01,0,5,0,PSN
0,27,9,2025-02-01,0,12,0,MA
0,29,9,2025-01-01,0,12,0,MA
0,29,9,2024-12-01,0,12,0,MA
0,30,7,2024-11-01,0,13,0,MA
0,8,2,2025-02-01,0,3,0,MTA.V
0,8,2,2025-01-01,0,3,0,MTA.V
0,8,2,2024-12-01,0,3,0,MTA.V
0,8,2,2024-11-01,0,3,0,MTA.V
0,4,1,2024-10-01,0,2,0,TRNR
0,4,1,2024-09-01,0,2,0,TRNR
0,4,1,2024-08-01,0,2,0,TRNR
0,4,1,2024-07-01,0,2,0,TRNR
0,0,2,2025-02-01,2,0,2,FNMA
0,0,3,2025-01-01,1,0,3,FNMA
0,0,3,2024-12-01,1,0,3,FNMA
0,1,2,2024-11-01,1,0,3,FNMA
0,9,6,2025-02-01,1,4,1,UGPA3.SA
0,6,9,2025-01-01,1,4,1,UGPA3.SA
0,6,9,2024-12-01,1,4,1,UGPA3.SA
0,7,8,2024-11-01,1,4,1,UGPA3.SA
0,6,7,2025-02-01,1,1,0,IBP
0,7,7,2025-01-01,1,1,0,IBP
0,8,6,2024-12-01,1,1,0,IBP
0,8,7,2024-11-01,0,1,0,IBP
0,6,6,2025-02-01,0,3,0,FCPT
0,6,5,2025-01-01,0,3,0,FCPT
0,6,5,2024-12-01,0,3,0,FCPT
0,5,5,2024-11-01,0,3,0,FCPT
0,2,3,2025-02-01,0,3,0,ECG
0,2,3,2025-01-01,0,3,0,ECG
0,2,2,2024-12-01,0,2,0,ECG
0,4,3,2025-02-01,0,2,0,CASH
0,4,3,2025-01-01,0,2,0,CASH
0,4,3,2024-12-01,0,2,0,CASH
0,4,3,2024-11-01,0,2,0,CASH
0,0,14,2025-02-01,3,2,3,FAST
0,0,13,2025-01-01,4,2,3,FAST
0,0,13,2024-12-01,3,3,3,FAST
0,0,13,2024-11-01,3,3,3,FAST
0,4,1,2021-12-01,0,2,0,ASTC
0,4,1,2021-11-01,0,2,0,ASTC
0,4,1,2021-10-01,0,2,0,ASTC
0,4,1,2021-09-01,0,2,0,ASTC
0,3,11,2025-02-01,7,1,3,AF.PA
0,8,9,2025-01-01,4,5,0,AF.PA
0,8,9,2024-12-01,4,5,0,AF.PA
0,8,11,2024-11-01,2,5,0,AF.PA
0,20,5,2025-02-01,0,9,0,TME
