date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2023-01-31,WMT,USD,0000104169,2023-03-17,2023-03-17 17:02:59,2023,FY,611289000000.0,463721000000.0,147568000000.0,0.241,0.0,123040000000.0,4100000000.0,127140000000.0,-1538000000,127140000000.0,590861000000.0,254000000.0,2128000000.0,10945000000.0,30089000000.0,0.0492222173,20428000000.0,0.0334179087,-3412000000.0,17016000000.0,0.0278362608,5724000000.0,11680000000.0,0.0191071654,1.43,1.42,8171999836.0,8201999835.0,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/0000104169-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm
2022-01-31,WMT,USD,0000104169,2022-03-18,2022-03-18 17:03:00,2022,FY,572754000000.0,429000000000.0,143754000000.0,0.2509873349,0.0,113912000000.0,3900000000.0,117812000000.0,-3000000000,117812000000.0,546812000000.0,158000000.0,1994000000.0,10658000000.0,36600000000.0,0.0589397892,25942000000.0,0.0452934419,-7246000000.0,18696000000.0,0.0326422862,4756000000.0,13673000000.0,0.023872378,1.63,1.62,8375999832.0,8414999831.0,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/0000104169-22-000012-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm
2021-01-31,WMT,USD,0000104169,2021-03-19,2021-03-19 16:40:44,2021,FY,559151000000.0,420315000000.0,138836000000.0,0.248,0.0,113088000000.0,3200000000.0,116288000000.0,210000000,116288000000.0,536603000000.0,121000000.0,2315000000.0,11152000000.0,34031000000.0,0.0608619139,22548000000.0,0.0403254219,-1984000000.0,20564000000.0,0.0367771854,6858000000.0,13510000000.0,0.0241616308,1.59,1.58,8492999830.0,8540999829.0,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/0000104169-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm
2023-12-31,LVLU,USD,0001780201,2024-03-06,2024-03-06 16:01:38,2023,FY,355175000.0,206949000.0,148226000.0,0.417332301,0.0,92129000.0,76312000.0,168441000.0,0,168441000.0,375390000.0,0.0,1728000.0,4819000.0,-14463000.0,-0.0407207715,-20215000.0,-0.056915605,-795000.0,-21010000.0,-0.0591539382,-1676000.0,-19334000.0,-0.0544351376,-0.48,-0.48,39879121.0,39879121.0,https://www.sec.gov/Archives/edgar/data/1780201/000155837024002599/0001558370-24-002599-index.htm,https://www.sec.gov/Archives/edgar/data/1780201/000155837024002599/tmb-20231231x10k.htm
2023-01-01,LVLU,USD,0001780201,2023-03-14,2023-03-14 16:30:57,2022,FY,439652000.0,248206000.0,191446000.0,0.435448946,0.0,99148000.0,83559000.0,182707000.0,136000,182707000.0,430913000.0,1103000.0,1103000.0,7391000.0,16266000.0,0.0295893115,8739000.0,0.0198770846,-967000.0,7772000.0,0.0176776178,4047000.0,3725000.0,0.0084726102,0.0965,0.0959,38583854.0,38853393.0,https://www.sec.gov/Archives/edgar/data/1780201/000155837023003722/0001558370-23-003722-index.htm,https://www.sec.gov/Archives/edgar/data/1780201/000155837023003722/tmb-20230101x10k.htm
2022-01-02,LVLU,USD,0001780201,2022-03-31,2022-03-31 17:12:22,2021,FY,375625000.0,198893000.0,176732000.0,0.471,0.0,87710000.0,66684000.0,154394000.0,85000,154394000.0,353287000.0,12774000.0,12774000.0,2900000.0,23931000.0,0.0672239601,22338000.0,0.0594688852,-14081000.0,8257000.0,0.02198203,6212000.0,2045000.0,0.0054442596,-3.2,-3.2,38421124.0,38421124.0,https://www.sec.gov/Archives/edgar/data/1780201/000155837022004959/0001558370-22-004959-index.htm,https://www.sec.gov/Archives/edgar/data/1780201/000155837022004959/tmb-20220102x10k.htm
2020-12-31,LVLU,USD,0001780201,2020-12-31,2020-12-31 00:00:00,2020,FY,248656000.0,138364000.0,110292000.0,0.4435525384,0.0,67155000.0,47812000.0,114967000.0,137000,114967000.0,253331000.0,16036999.0,16037000.0,3216000.0,-1322000.0,-0.0053165819,-4675000.0,-0.0188010746,-15900000.0,-20575000.0,-0.0827448362,-1271000.0,-19304000.0,-0.0776333569,-0.49,-0.49,39290485.0,39290485.0,,
2019-12-31,LVLU,USD,0001780201,2019-12-31,2019-12-31 00:00:00,2019,FY,369622000.0,208418000.0,161204000.0,0.4361320484,0.0,73386000.0,72875000.0,146261000.0,239000,146261000.0,354679000.0,15206000.0,15206000.0,3041000.0,18223000.0,0.0493017191,14943000.0,0.0404277884,-14967000.0,-24000.0,-6.49312e-05,445000.0,-469000.0,-0.0012688639,-0.0119,-0.0119,39290485.0,39290485.0,,
2023-12-31,LEJUY,USD,0000000000,2023-12-31,2023-12-30 19:00:00,2023,FY,316854430.0,23094753.0,293759677.0,0.9271124188,0.0,0.0,0.0,349560513.0,2940023,352500536.0,375595289.0,1260896.0,0.0,12030029.0,-46710830.0,-0.1474204732,-58740859.0,-0.1853875264,1186706.0,-57554153.0,-0.1816422545,-1781581.0,-55934159.0,-0.1765295155,-40.67,-40.67,1375414.0,1375414.0,,
2022-12-31,LEJUY,USD,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,343182184.0,30603426.0,312578758.0,0.9108245491,0.0,0.0,0.0,418501176.0,246497,418203513.0,448806939.0,2334540.0,0.0,12582314.0,-93042441.0,-0.2747588319,-105624755.0,-0.307780415,3830932.0,-101793823.0,-0.2966174462,-12120235.0,-89668194.0,-0.2612845252,-65.43,-65.43,1370424.0,1370424.0,,
2021-12-31,LEJUY,USD,0000000000,2021-12-31,2021-12-30 19:00:00,2021,FY,534116970.0,55800726.0,478316244.0,0.896,0.0,0.0,0.0,645623660.0,252706,645063266.0,700863992.0,3130211.0,0.0,13369416.0,-153377606.0,-0.2870790175,-166747022.0,-0.3121919568,3339086.0,-163407936.0,-0.3059403561,-13497784.0,-150933535.0,-0.2825851704,-110.45,-110.45,1366522.0,1366522.0,,
2020-12-31,LEJUY,USD,0000000000,2020-12-31,2020-12-30 19:00:00,2020,FY,719525983.0,73762283.0,645763700.0,0.8974848932,0.0,0.0,0.0,622026035.0,251169,621645186.0,695407469.0,7268530.0,0.0,14338529.0,38457043.0,0.0533798041,24118514.0,0.0335200042,7568586.0,31687100.0,0.0440388544,10665022.0,19302238.0,0.0268263252,1.4,1.4,13607079.0,13756457.0,,
2019-12-31,LEJUY,USD,0000000000,2019-12-31,2019-12-30 19:00:00,2019,FY,692604955.0,68297832.0,624307123.0,0.9013899171,0.0,0.0,0.0,607164835.0,251718,251718.0,251718.0,151931.0,0.0,15158240.0,32898381.0,0.0466362964,-251718.0,-0.0003634366,2130442.0,19870583.0,0.0286896345,8989662.0,11521996.0,0.0166357401,0.85,0.85,13577079.0,13581175.0,,
2024-12-31,ALC,USD,0001167379,2025-02-25,2025-02-25 16:34:11,2024,FY,9911000000.0,4399000000.0,5512000000.0,0.5561497326,876000000.0,0.0,0.0,3250000000.0,-27000000,4099000000.0,8498000000.0,84000000.0,192000000.0,1228000000.0,2676000000.0,0.2700030269,1413000000.0,0.1425688629,-157000000.0,1256000000.0,0.1267278781,238000000.0,1018000000.0,0.102714156,2.06,2.05,494400000.0,497500000.0,https://www.sec.gov/Archives/edgar/data/1167379/000116737925000008/0001167379-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1167379/000116737925000008/alc-20241231.htm
2023-12-31,ALC,USD,0001167379,2024-02-27,2024-02-27 16:38:27,2023,FY,9455000000.0,4208000000.0,5247000000.0,0.555,859000000.0,0.0,0.0,3209000000.0,140000000,4208000000.0,8416000000.0,34000000.0,189000000.0,1221000000.0,2242000000.0,0.2371232152,1039000000.0,0.1098889476,-207000000.0,832000000.0,0.0879957694,-142000000.0,974000000.0,0.1030142782,1.98,1.96,493000000.0,496500000.0,https://www.sec.gov/Archives/edgar/data/1167379/000116737924000008/0001167379-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1167379/000116737924000008/alc-20231231.htm
2022-12-31,ALC,USD,0001167379,2023-02-27,2023-02-27 16:35:50,2022,FY,8717000000.0,3969000000.0,4748000000.0,0.5446828037,702000000.0,0.0,0.0,3068000000.0,-181774104,4076000000.0,8045000000.0,16000000.0,134000000.0,1159842729.0,1776428752.0,0.2045428473,672000000.0,0.0770907422,-209000000.0,463000000.0,0.0531146036,128000000.0,335000000.0,0.0384306527,0.7,0.7,491400000.0,494400000.0,https://www.sec.gov/Archives/edgar/data/1167379/000116737923000011/0001167379-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1167379/000116737923000011/alc-20221231.htm
