,date,exchange,name,numberOfShares,price,status,symbol,totalSharesValue
0,2025-01-15,NASDAQ Capital,Ribbon Acquisition Corp.,5000000,10.00,priced,RIBBU,50000000.0
0,2025-01-15,NASDAQ Global,"Plum Acquisition Corp, IV",15000000,10.00,priced,PLMKU,150000000.0
0,2025-01-15,,Antharas Inc,,,filed,AAS,7187500.0
0,2025-01-14,,RanMarine Technology B.V.,,,withdrawn,,
0,2025-01-14,NASDAQ Capital,Uni-Fuels Holdings Ltd,2100000,4.00,priced,UFG,8400000.0
0,2025-01-13,,"Marwynn Holdings, Inc.",,,filed,MWYN,11500000.0
0,2025-01-13,,Phoenix Asia Holdings Ltd,,,filed,PHOE,11040000.0
0,2025-01-10,NASDAQ Capital,Mint Inc Ltd,1750000,4.00,priced,MIMI,7000000.0
0,2025-01-10,,"Aspargo Labs, Inc.",,,filed,AAGO,153978683.91
0,2025-01-10,,Origin Investment Corp I,,,filed,,69000000.0
0,2025-01-10,,CH4 Natural Solutions Acquisition Corp,,,filed,MTNEU,287500000.0
0,2025-01-10,,Live Oak Acquisition Corp. V,,,filed,LOKVU,230000000.0
0,2025-01-08,NASDAQ Capital,3 E Network Technology Group Ltd,1250000,4.00,priced,MASK,5000000.0
0,2025-01-08,,Functional Brands Inc.,,,filed,MEHA,7331250.0
0,2025-01-07,NASDAQ Global,"Cantor Equity Partners I, Inc.",20000000,10.00,priced,CEPO,200000000.0
0,2025-01-07,NASDAQ Capital,Zhengye Biotechnology Holding Ltd,1500000,4.00,priced,ZYBT,6000000.0
0,2025-01-07,,"Molida Holding Group Co., Ltd",,,filed,MOLD,120000000.0
0,2025-01-06,,Clarios International Inc.,,,withdrawn,,
0,2025-01-06,,Phaos Technology (Cayman) Holdings Ltd,,,filed,POAS,15525000.0
0,2025-01-06,,Zenta Group Co Ltd,,,filed,ZGM,8625000.0
0,2025-01-03,,"NEONC TECHNOLOGIES HOLDINGS, INC.",,,filed,NTHI,0.0
0,2025-01-03,,Everfront Biotech Holding Co Ltd,,,filed,EFB,10000000.0
0,2025-01-02,NASDAQ Capital,INLIF Ltd,2000000,4.00,priced,INLF,8000000.0
0,2025-01-02,,NewHold Investment Corp. III,,,filed,NHICU,201250000.0
0,2024-12-31,NASDAQ Capital,OneConstruction Group Ltd,1750000,4.00,priced,ONEG,7000000.0
0,2024-12-31,,Anbio Biotechnology,,,filed,NNNN,9600000.0
0,2024-12-30,,"Aether Holdings, Inc.",,,filed,ATHR,10350000.0
0,2024-12-30,,Maywood Acquisition Corp.,,,filed,MAYAU,86250000.0
0,2024-12-27,NASDAQ Capital,"Park Ha Biological Technology Co., Ltd.",1200000,4.00,priced,PHH,4800000.0
0,2024-12-27,,Helio Corp /FL/,,,filed,,19166670.0
0,2024-12-26,,Pictureworks International Holdings Ltd,,,filed,PICW,13225000.0
0,2024-12-26,,SAGTEC GLOBAL Ltd,,,filed,SAGT,9056250.0
0,2024-12-23,NASDAQ Global,Translational Development Acquisition Corp.,15000000,10.00,priced,TDACU,150000000.0
0,2024-12-23,NASDAQ Capital,"Health In Tech, Inc.",2300000,4.00,priced,HIT,9200000.0
0,2024-12-23,,Arrive AI Inc.,,,filed,ARAI,372700000.0
